model,term,coefficient,std_error_hac,p_value,test_type
growth_volume,post_2022,-3.3031287161403906,0.9714967807786535,0.000673757927293779,coefficient
growth_volume,m_10,8.654424872985345,0.9940729664002995,3.147152912279473e-18,coefficient
growth_volume,m_11,-3.0915077158510327,1.6892612535457308,0.06723581041688768,coefficient
growth_volume,m_12,3.806759839822458,1.4446833382402027,0.008413398141273022,coefficient
growth_value,post_2022,-3.7421305701405543,0.7232312422366053,2.289107735914619e-07,coefficient
growth_value,m_10,10.980687687739492,1.2074569355166105,9.540681980242072e-20,coefficient
growth_value,m_11,-3.8076224446088274,1.4682547625676245,0.009506030560527847,coefficient
growth_value,m_12,4.612425668258815,0.8027982174591782,9.168450608091186e-09,coefficient
log_volume,trend,0.04246685097321523,0.001969070589489123,3.6709936600072444e-103,coefficient
log_volume,festival_month,0.050873530950045875,0.04395232169925886,0.247080044065226,coefficient
log_value,trend,0.03591538059870848,0.0022124927733994833,2.947290633765126e-59,coefficient
log_value,festival_month,0.049187933470598466,0.049471174998891795,0.32008919079057463,coefficient
