year,avg_monthly_growth_volume,avg_monthly_growth_value,observations,complete_year
2020,9.027741109643472,8.164724558942142,6,0
2021,6.409054743928926,6.115736237020044,12,1
2022,4.733188238914008,3.841092679994517,12,1
2023,3.774751535750408,3.076850449070102,12,1
2024,2.9148254283190123,2.1933250258467663,12,1
2025,2.7281654555319057,1.4603776483677888,6,0
