year,avg_monthly_growth_volume,avg_monthly_growth_value,avg_upi_volume,avg_upi_value,observations
2020,9.027741109643468,8.164724558942142,1824183857.142857,3389992814285.7144,7
2021,6.409054743928926,6.115736237020044,3227761750.0,5964677750000.0,12
2022,4.7331882389140025,3.8410926799945115,6169974083.333333,10495411191666.666,12
2023,3.7747515357504065,3.076850449070102,9800729583.333334,15239695783333.334,12
2024,2.9148254283190096,2.193325025846768,14350668166.666666,20568767350000.0,12
2025,2.7281654555319044,1.4603776483677853,17907089000.0,24065768966666.668,6
